Model,Scoring function,DMDS,MSL,SKAB,SMAP,SMD,SWaT,WADI,Mean
BeatGAN,Error,0.2128,0.4777,0.4425,0.4455,0.4893,0.2574,0.3165,0.3774
BeatGAN,Gauss-D,0.5391,0.4531,0.5437,0.3732,0.5479,0.4777,0.4908,0.4894
BeatGAN,Gauss-D-K,0.538,0.5329,0.5391,0.5698,0.555,0.476,0.4648,0.5251
BeatGAN,Gauss-S,0.1957,0.4777,0.4442,0.4455,0.5122,0.1878,0.2961,0.3656
FC AE,Error,0.2499,0.4577,0.4134,0.4069,0.4374,0.2286,0.339,0.3618
FC AE,Gauss-D,0.6047,0.4514,0.5408,0.3788,0.5395,0.4478,0.5639,0.5038
FC AE,Gauss-D-K,0.6048,0.506,0.5442,0.5672,0.5651,0.4786,0.5083,0.5392
FC AE,Gauss-S,0.3141,0.4577,0.428,0.4069,0.5288,0.095,0.4784,0.3870
LSTM AE,Error,0.1338,0.4253,0.4438,0.4535,0.5418,0.2234,0.0723,0.3277
LSTM AE,Gauss-D,0.5999,0.4481,0.5418,0.4536,0.5271,0.5163,0.4265,0.5019
LSTM AE,Gauss-D-K,0.6029,0.5346,0.5364,0.5605,0.5381,0.4715,0.3505,0.5135
LSTM AE,Gauss-S,0.1019,0.4253,0.4372,0.4535,0.4848,0.136,0.4227,0.3516
LSTM VAE,Error,0.2488,0.3507,0.4454,0.2826,0.4175,0.2207,0.3446,0.3300
LSTM VAE,Gauss-D,0.5939,0.391,0.5439,0.2988,0.5427,0.4456,0.5758,0.4845
LSTM VAE,Gauss-D-K,0.5924,0.4623,0.5433,0.4975,0.5784,0.4444,0.5289,0.5210
LSTM VAE,Gauss-S,0.2712,0.3507,0.4501,0.2826,0.5446,0.0965,0.454,0.3500
MSCRED,Error,0.1613,0.3854,0.4006,0.3598,0.3473,0.1893,0.3235,0.3096
MSCRED,Gauss-D,0.2906,0.3944,0.5526,0.3724,0.4145,0.4315,0.3253,0.3973
MSCRED,Gauss-D-K,0.296,0.4096,0.5502,0.4009,0.4085,0.3769,0.2905,0.3904
MSCRED,Gauss-S,0.1488,0.3854,0.4007,0.3598,0.3719,0.2142,0.3203,0.3144
NASA LSTM,Error,0.0451,0.5087,0.4217,0.4967,0.3635,0.0671,0.2965,0.3142
NASA LSTM,Gauss-D,0.1284,0.4715,0.5339,0.428,0.3879,0.1398,0.1058,0.3136
NASA LSTM,Gauss-D-K,0.1276,0.5503,0.5338,0.641,0.3874,0.1348,0.1958,0.3672
NASA LSTM,Gauss-S,0.0855,0.5087,0.4165,0.4967,0.3952,0.1296,0.1916,0.3177
PCA,Error,0.1585,0.4145,0.4385,0.4021,0.4992,0.1879,0.2573,0.3369
PCA,Gauss-D,0.5339,0.4067,0.5524,0.3793,0.5344,0.5314,0.3747,0.4733
PCA,Gauss-D-K,0.5356,0.5217,0.5585,0.4585,0.5557,0.4811,0.3068,0.4883
PCA,Gauss-S,0.0549,0.4145,0.3893,0.4021,0.4785,0.1498,0.4518,0.3344
Raw Signal,Error,0.2535,0.2737,0.4129,0.2369,0.4014,0.2267,0.357,0.3089
Raw Signal,Gauss-D,0.4927,0.2453,0.5349,0.2707,0.5151,0.3796,0.4094,0.4068
Raw Signal,Gauss-D-K,0.4693,0.2974,0.5405,0.319,0.5591,0.4086,0.479,0.4390
Raw Signal,Gauss-S,0.3989,0.2724,0.5226,0.2369,0.5319,0.1318,0.3889,0.3548
TCN AE,Error,0.1613,0.4239,0.418,0.4347,0.5012,0.2132,0.2785,0.3473
TCN AE,Gauss-D,0.5989,0.4354,0.5488,0.3873,0.58,0.4732,0.5126,0.5052
TCN AE,Gauss-D-K,0.6035,0.5231,0.5515,0.5615,0.6034,0.4353,0.4685,0.5353
TCN AE,Gauss-S,0.2564,0.4239,0.4447,0.4347,0.5422,0.2124,0.3737,0.3840
UAE,Error,0.2713,0.4931,0.4132,0.5583,0.4963,0.2075,0.3339,0.3962
UAE,Gauss-D,0.6378,0.5111,0.555,0.4793,0.5501,0.5713,0.5105,0.5450
UAE,Gauss-D-K,0.6199,0.5193,0.5604,0.6116,0.5805,0.6105,0.5561,0.5798
UAE,Gauss-S,0.3975,0.4931,0.4228,0.5583,0.5209,0.1064,0.4971,0.4280
